Comment,Designator,Footprint,LCSC Part #
"10u Unpolarized capacitor, small symbol",C1,C_0603_1608Metric,C19702
"Power Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",J1,PinSocket_1x03_P2.54mm_Vertical,
"Data Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",J2,PinSocket_1x03_P2.54mm_Vertical,
"47k Resistor, small symbol","R1,R2,R3",R_0603_1608Metric,C25819
"Rot Rotary encoder, dual channel, incremental quadrate outputs, with switch",SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,C143788
